time,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul
27658800.0,101325.0,0.07906341511534314,0.8883725892651138,278.75,0.0,0.0,0.0,0.97,0.9,1500.0,2.6,4.71238898038469,0.9,272.034879296805,310.0,27658800.0,2.379091148282034,-0.8082948214871375,-0.33364226234585853,27657142.772356406,2008.142586812126,279.25,279.03278818334746
27659700.0,101325.0,0.07906341511534314,0.8883725892651138,278.815,0.0,0.0,0.0,0.97,0.9,1500.0,2.6,4.766930519509512,0.9,272.0952597592157,310.3125,27659700.0,2.3435229570836884,-0.7727266302887918,-0.33368513462890254,27658042.62260088,2008.2080257685466,279.296484375,279.0788812405109
27660600.0,101325.0,0.07906341511534314,0.8883725892651138,278.9133333333333,0.0,0.0,0.0,0.97,0.9,1500.0,2.6,4.886921905584122,0.9,272.1793617699268,311.0,27660600.0,2.3065827477474814,-0.7357864209525848,-0.33372799641817535,27658942.47276564,2008.2734647191703,279.359375,279.14124221121943
27661500.0,101325.0,0.07906341511534314,0.8883725892651138,279.005,0.0,0.0,0.0,0.97,0.9,1500.0,2.6,5.006913291658733,0.9,272.2573459149752,311.6875,27661500.0,2.2685088857500206,-0.6977125589551241,-0.33377084771191246,27659842.322850697,2008.3389036639976,279.417578125,279.1989549317883
27662400.0,101325.0,0.07906341511534314,0.8883725892651138,279.04999999999995,0.0,0.0,0.0,0.97,0.9,1500.0,2.6,5.061454830783556,0.9,272.2993788331899,312.0,27662400.0,2.2295118027261913,-0.6587154759312948,-0.33381368850834825,27660742.172856063,2008.4043426030303,279.45,279.23110353453444
27663300.0,101325.0,0.07906341511534314,0.8883725892651138,279.0410714285714,0.0,0.0,0.0,0.97,0.9,1500.0,2.477704326923077,5.061454830783556,0.9,272.2907604831254,311.85546875,27663300.0,2.1897777195373673,-0.6189813927424708,-0.33385651880571793,27661642.022781752,2008.4697815362679,279.44328125,279.2244414199405
27664200.0,101325.0,0.07906341511534314,0.8883725892651138,279.0095238095238,0.0,0.0,0.0,0.97,0.9,1500.0,2.1822115384615386,5.061454830783556,0.9,272.25222964860365,311.53125,27664200.0,2.1494722907840704,-0.5786759639891739,-0.3338993386022569,27662541.872627784,2008.5352204637131,279.41125,279.1926801364489
27665100.0,101325.0,0.07906341511534314,0.8883725892651138,278.9732142857143,0.0,0.0,0.0,0.97,0.9,1500.0,1.8206129807692308,5.061454830783556,0.9,272.20711333425487,311.19140625,27665100.0,2.1087439878291168,-0.5379476610342202,-0.3339421478962011,27663441.722394165,2008.6006593853656,279.37359375,279.1553411778112
27666000.0,101325.0,0.07906341511534314,0.8883725892651138,278.95,0.0,0.0,0.0,0.97,0.9,1500.0,1.5,5.061454830783556,0.9,272.1787378783335,311.0,27666000.0,2.0677271416748804,-0.4969308148799838,-0.3339849466857859,27664341.57208091,2008.6660983012273,279.34999999999997,279.13194618215584
27666900.0,101325.0,0.07906341511534314,0.8883725892651138,278.94598214285713,0.0,0.0,0.0,0.97,0.915625,1467.1875,1.2354949737762237,5.057364215349194,0.9,272.17415172644223,310.98046875,27666900.0,2.02654462888658,-0.4557483020916835,-0.33402773496924776,27665241.421688035,2008.7315372112982,279.34625,279.1282277689402
